"name","url","cover","rate","category","language","showtime","length","othername","id","label"
"无人引航","http://movie.douban.com/subject/10754780/","http://img3.douban.com/view/movie_poster_cover/lpst/public/p2194962310.jpg","8.2","剧情;音乐","英语","2014.0","105.0","生命没有归处(台);无人指导","d06f723f619dfba090eafa490290ec70","Movie"
"侏罗纪世界","http://movie.douban.com/subject/10440138/","http://img3.douban.com/view/movie_poster_cover/lpst/public/p2246217861.jpg","7.8","动作;科幻;冒险","英语","2015.0","124.0","侏罗纪公园4;Jurassic Park IV;Jurassic Park 4","fdc678bf63f2cfd240d4e5fb832a14cd","Movie"
"帕丁顿熊","http://movie.douban.com/subject/2998373/","http://img3.douban.com/view/movie_poster_cover/lpst/public/p2230471461.jpg","7.6","喜剧;家庭","英语","2015.0","95.0","柏灵顿(港);柏灵顿：熊爱趴趴走(台);柏灵顿小熊大电影;Paddington Bear","4dd76c021e196789759a870422f74f0e","Movie"
"超能陆战队","http://movie.douban.com/subject/11026735/","http://img4.douban.com/view/movie_poster_cover/lpst/public/p2224568669.jpg","8.6","喜剧;动作;科幻;动画;冒险","英语","2015.0","102.0","大英雄联盟(港);大英雄天团(台);六大英雄","053e7f27f791c012bf4c34aaafd9a60f","Movie"
"赤道","http://movie.douban.com/subject/24987018/","http://img4.douban.com/view/movie_poster_cover/lpst/public/p2238375159.jpg","5.9","剧情;动作;悬疑;犯罪","汉语普通话;粤语;韩语;英语","2015.0","119.0","大峡谷;赤盗;Helios","2af6c0fc0ce7b68e87649f24da954ba7","Movie"
"有一个地方只有我们知道","http://movie.douban.com/subject/25858759/","http://img3.douban.com/view/movie_poster_cover/lpst/public/p2223068290.jpg","5.0","爱情","汉语普通话;英语","2015.0","109.0","Somewhere Only We Know","a6fd69e873abdedbf8d50c9ea6ff06e9","Movie"
"男人与鸡","http://movie.douban.com/subject/25800938/","http://img3.douban.com/view/movie_poster_cover/lpst/public/p2222041842.jpg","7.2","剧情;喜剧","丹麦语","2015.0","100.0","爷们与胆小鬼;Mænd og høns;Men and Chickens","7793a1bf380e6588722cd5287558a426","Movie"
"博物馆奇妙夜3","http://movie.douban.com/subject/21349734/","http://img4.douban.com/view/movie_poster_cover/lpst/public/p2219665256.jpg","7.0","喜剧;奇幻;冒险","英语;匈奴语","2015.0","98.0","博物馆奇妙夜3：墓葬秘密;博物馆惊魂夜3(台);翻生侏罗馆3：古墓的秘密(港);Night at the Museum 3","92097f95afd800e60803b3b80372f359","Movie"
"44号孩子","http://movie.douban.com/subject/2363942/","http://img4.douban.com/view/movie_poster_cover/lpst/public/p2232866868.jpg","6.6","剧情;悬疑;历史","英语","2015.0","137.0","第44个孩子(台);叛国追凶(港)","b70e5658c7ce18cf965946e770e32800","Movie"
"万物生长","http://movie.douban.com/subject/25872931/","http://img3.douban.com/view/movie_poster_cover/lpst/public/p2236439094.jpg","6.0","喜剧;爱情","汉语普通话","2015.0","105.0","Ever Since We Love","6337445025d2d0a2081e6c23c327e116","Movie"
"0.5毫米","http://movie.douban.com/subject/21767183/","http://img4.douban.com/view/movie_poster_cover/lpst/public/p2192573387.jpg","8.1","剧情","日语","2014.0","196.0","0.5mm","129aed7f6fcc83023f62619eb03af408","Movie"
"鸭王","http://movie.douban.com/subject/26279166/","http://img3.douban.com/view/movie_poster_cover/lpst/public/p2224389662.jpg","4.5","喜剧;爱情;情色","粤语","2015.0","96.0","The Gigolo","3e09e57bc16ddbefc5acef78a08403be","Movie"
"战狼","http://movie.douban.com/subject/24753810/","http://img4.douban.com/view/movie_poster_cover/lpst/public/p2225660666.jpg","6.9","动作;战争","汉语普通话;英语","2015.0","90.0","特种兵之战狼;兵锋;Wolf Warriors;Wolf War;Warg","4f2318e04c95e4bb55c0642b265a05dc","Movie"
"爱你，罗茜","http://movie.douban.com/subject/5153254/","http://img3.douban.com/view/movie_poster_cover/lpst/public/p2190768432.jpg","7.3","喜剧;爱情","英语","2014.0","102.0","亲爱的，原来是你(港);真爱绕圈圈(台)","4d0fa3abbdaef74fdcca3ed5c0ead0d3","Movie"
"江南1970","http://movie.douban.com/subject/24307637/","http://img3.douban.com/view/movie_poster_cover/lpst/public/p2221878905.jpg","6.2","剧情;动作","韩语","2015.0","141.0","江南黑夜(港);江南布鲁斯;Gangnam 1970;Gangnam Blues","83edf25108216fb08052aa471ff45f55","Movie"
"第七子：降魔之战","http://movie.douban.com/subject/2325873/","http://img3.douban.com/view/movie_poster_cover/lpst/public/p2219669553.jpg","5.0","奇幻;冒险","英语","2015.0","103.0","第七传人(台);猎魔七煞(港);史布克的学徒;最后的学徒;第七子;The Spook's Apprentice;The Last Apprentice;The Wardstone Chronicles","f35b9df062256e3c13097ce5c6312221","Movie"
"军犬麦克斯","http://movie.douban.com/subject/25898213/","http://img3.douban.com/view/photo/photo/public/p2254382850.jpg","7.1","剧情;冒险","英语","2015.0","111.0","海军忠犬(港)","0a38125847a5058a6e15c657ac882563","Movie"
"一步之遥","http://movie.douban.com/subject/6126442/","http://img3.douban.com/view/movie_poster_cover/lpst/public/p2210853894.jpg","6.3","喜剧;爱情;冒险","汉语普通话;英语;上海话;法语;日语;满语;越南语;拉丁语","2014.0","140.0","随子弹去;Gone With The Bullets","4ce30e4363b456efd48e1ad19b55cf51","Movie"
"生活残骸","http://movie.douban.com/subject/25821585/","http://img3.douban.com/view/photo/photo/public/p2259048192.jpg","6.5","喜剧","英语","2015.0","125.0","火车出轨","e2520798c1b11f79d2c99af0becd1cc0","Movie"
"海月姬","http://movie.douban.com/subject/25861695/","http://img4.douban.com/view/movie_poster_cover/lpst/public/p2204589689.jpg","7.0","喜剧","日语","2014.0","126.0","Kurage hime;Princess Jellyfish","d78e4d3a2b2efdc1550867bf411bf774","Movie"
"雏妓","http://movie.douban.com/subject/25834945/","http://img3.douban.com/view/movie_poster_cover/lpst/public/p2226169113.jpg","6.4","剧情","粤语","2014.0","95.0","Que Sera Sera;Sara","fbedd6ffbd5883cc1c9bb68d2083af04","Movie"
"灰姑娘","http://movie.douban.com/subject/6875263/","http://img3.douban.com/view/movie_poster_cover/lpst/public/p2231066272.jpg","6.8","爱情;奇幻;冒险","英语","2015.0","106.0","仙履奇缘(港;台)","79f01182af567b3cfa64a3e358cb291b","Movie"
"横冲直撞好莱坞","http://movie.douban.com/subject/25908042/","http://img3.douban.com/view/movie_poster_cover/lpst/public/p2244110255.jpg","4.6","喜剧;动作;冒险","汉语普通话;英语","2015.0","118.0","横冲直撞荷里活(港);横冲直闯好莱坞;致我们终将逝去的爱情;致突如其来的爱情;致爱情;Hollywood Adventures","586cb416c4f59426805ca5df6516db81","Movie"
"涉足荒野","http://movie.douban.com/subject/21345845/","http://img4.douban.com/view/movie_poster_cover/lpst/public/p2217481599.jpg","7.5","剧情;传记","英语","2014.0","115.0","那时候，我只剩下勇敢(台);狂野行(港);走出荒野","5d9f58dffbca29d8da0817451b1ae144","Movie"
